Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
60353872,-1.61,-146.33,5.0,10.80,-15.0,15.8,-71.4
60530862,-1.62,-146.48,5.1,10.78,-14.9,15.8,-71.3
60707852,-1.62,-146.55,5.1,10.78,-14.9,15.7,-71.2
60884844,-1.61,-146.70,5.0,10.85,-14.8,15.6,-71.3
61061834,-1.62,-146.83,5.0,10.77,-14.8,15.6,-71.1
61238824,-1.63,-146.91,5.1,10.67,-14.7,15.6,-70.9
61415816,-1.62,-146.90,5.0,10.78,-14.7,15.6,-71.1
61592806,-1.63,-147.04,5.1,10.72,-14.7,15.5,-70.9
61769796,-1.63,-147.19,5.1,10.66,-14.6,15.4,-70.7
61946788,-1.63,-147.33,5.1,10.68,-14.5,15.4,-70.7
62123778,-1.63,-147.48,5.1,10.71,-14.4,15.3,-70.7
62300768,-1.64,-147.53,5.1,10.63,-14.4,15.3,-70.5
62477760,-1.63,-147.65,5.1,10.68,-14.4,15.2,-70.5
62654750,-1.63,-147.80,5.1,10.67,-14.3,15.2,-70.5
62831740,-1.64,-147.89,5.1,10.63,-14.3,15.1,-70.4
63008732,-1.63,-147.98,5.1,10.66,-14.2,15.1,-70.4
63185722,-1.64,-148.12,5.1,10.64,-14.1,15.0,-70.2
63362712,-1.64,-148.10,5.1,10.60,-14.2,15.0,-70.2
63539704,-1.65,-148.27,5.1,10.56,-14.1,15.0,-70.0
63716694,-1.65,-148.34,5.1,10.54,-14.0,14.9,-70.0
63893684,-1.65,-148.39,5.1,10.56,-14.0,14.9,-70.0
64070676,-1.64,-148.50,5.1,10.62,-14.0,14.9,-70.0
64247666,-1.65,-148.64,5.1,10.56,-13.9,14.8,-69.8
64424656,-1.64,-148.76,5.1,10.63,-13.8,14.7,-69.9
64601648,-1.65,-148.90,5.1,10.59,-13.8,14.7,-69.7
64778638,-1.65,-148.92,5.1,10.55,-13.8,14.7,-69.7
64955628,-1.65,-149.09,5.1,10.59,-13.7,14.6,-69.6
65132620,-1.66,-149.17,5.1,10.52,-13.7,14.6,-69.5
65309610,-1.66,-149.24,5.1,10.51,-13.6,14.5,-69.4
65486600,-1.65,-149.39,5.1,10.53,-13.6,14.5,-69.4
65663592,-1.66,-149.43,5.1,10.50,-13.5,14.5,-69.3
65840582,-1.66,-149.55,5.1,10.49,-13.5,14.4,-69.2
66017572,-1.66,-149.63,5.1,10.47,-13.4,14.4,-69.1
66194564,-1.67,-149.67,5.1,10.46,-13.4,14.4,-69.1
66371554,-1.67,-149.76,5.2,10.40,-13.4,14.3,-68.9
66548544,-1.67,-149.86,5.1,10.43,-13.3,14.3,-68.9
66725536,-1.66,-149.97,5.1,10.47,-13.3,14.2,-68.9
66902526,-1.68,-150.08,5.2,10.39,-13.2,14.2,-68.7
67079516,-1.68,-150.22,5.1,10.40,-13.2,14.1,-68.7
67256508,-1.67,-150.34,5.1,10.46,-13.1,14.1,-68.7
67433498,-1.67,-150.41,5.1,10.42,-13.1,14.0,-68.6
67610488,-1.68,-150.49,5.2,10.37,-13.0,14.0,-68.4
67787480,-1.68,-150.58,5.1,10.39,-13.0,14.0,-68.4
67964470,-1.69,-150.70,5.2,10.34,-12.9,13.9,-68.2
68141460,-1.68,-150.82,5.1,10.40,-12.9,13.9,-68.3
68318452,-1.69,-150.84,5.2,10.32,-12.9,13.9,-68.1
68495442,-1.68,-151.04,5.1,10.36,-12.8,13.8,-68.1
68672432,-1.69,-151.05,5.2,10.33,-12.8,13.8,-68.0
68849424,-1.68,-151.20,5.1,10.36,-12.7,13.7,-68.0
69026414,-1.69,-151.34,5.2,10.29,-12.6,13.7,-67.7
69203404,-1.69,-151.46,5.2,10.31,-12.6,13.6,-67.7
69380396,-1.70,-151.56,5.2,10.25,-12.5,13.6,-67.5
69557386,-1.70,-151.67,5.2,10.25,-12.5,13.5,-67.5
69734376,-1.69,-151.78,5.1,10.32,-12.4,13.5,-67.5
69911368,-1.68,-151.86,5.1,10.36,-12.4,13.4,-67.5
70088358,-1.70,-151.98,5.2,10.27,-12.4,13.4,-67.3
70265348,-1.71,-152.07,5.2,10.22,-12.3,13.4,-67.1
70442340,-1.71,-152.20,5.2,10.18,-12.2,13.3,-67.0
70619330,-1.71,-152.29,5.2,10.21,-12.2,13.3,-67.0
70796320,-1.70,-152.42,5.2,10.23,-12.1,13.2,-66.9
70973312,-1.70,-152.52,5.2,10.23,-12.1,13.2,-66.8
71150302,-1.72,-152.67,5.2,10.16,-12.0,13.1,-66.6
71327292,-1.71,-152.78,5.2,10.18,-12.0,13.1,-66.5
71504284,-1.72,-152.97,5.2,10.13,-11.9,13.0,-66.3
71681274,-1.73,-153.09,5.2,10.10,-11.8,12.9,-66.2
71858264,-1.73,-153.11,5.2,10.08,-11.8,12.9,-66.1
72035256,-1.74,-153.20,5.3,10.02,-11.8,12.9,-65.9
72212246,-1.74,-153.39,5.3,10.02,-11.7,12.8,-65.8
72389236,-1.75,-153.64,5.3,9.97,-11.6,12.7,-65.5
72566228,-1.74,-153.78,5.3,10.00,-11.5,12.7,-65.4
72743218,-1.75,-153.93,5.3,9.94,-11.5,12.6,-65.2
72920208,-1.77,-154.03,5.3,9.87,-11.4,12.6,-64.9
73097200,-1.77,-154.14,5.3,9.86,-11.4,12.5,-64.8
73274190,-1.78,-154.31,5.4,9.77,-11.3,12.5,-64.5
73451180,-1.79,-154.43,5.4,9.76,-11.2,12.4,-64.4
73628172,-1.80,-154.58,5.4,9.70,-11.2,12.4,-64.1
73805162,-1.80,-154.69,5.4,9.67,-11.1,12.4,-63.9
73982152,-1.82,-154.81,5.5,9.59,-11.0,12.3,-63.6
74159144,-1.84,-154.96,5.5,9.49,-11.0,12.3,-63.3
74336134,-1.85,-155.16,5.6,9.43,-10.9,12.2,-62.9
74513124,-1.86,-155.33,5.6,9.37,-10.8,12.2,-62.6
74690116,-1.88,-155.54,5.6,9.30,-10.7,12.1,-62.3
74867106,-1.90,-155.60,5.7,9.18,-10.7,12.1,-61.9
75044096,-1.90,-155.73,5.7,9.18,-10.6,12.0,-61.8
75221088,-1.93,-155.76,5.8,9.06,-10.6,12.1,-61.4
75398078,-1.94,-155.88,5.8,8.98,-10.5,12.0,-61.1
75575068,-1.95,-156.07,5.8,8.95,-10.5,12.0,-60.8
75752060,-1.98,-156.22,5.9,8.83,-10.4,11.9,-60.3
75929050,-2.00,-156.29,6.0,8.73,-10.3,12.0,-60.0
76106040,-2.03,-156.44,6.1,8.61,-10.3,11.9,-59.5
76283032,-2.05,-156.64,6.1,8.50,-10.2,11.9,-59.0
76460022,-2.07,-156.67,6.2,8.42,-10.2,11.9,-58.7
76637012,-2.11,-156.82,6.3,8.29,-10.1,11.9,-58.1
76814004,-2.13,-156.97,6.4,8.18,-10.0,11.9,-57.6
76990994,-2.16,-157.00,6.4,8.08,-10.0,11.9,-57.2
77167984,-2.19,-157.16,6.5,7.99,-9.9,11.9,-56.8
77344976,-2.23,-157.20,6.6,7.84,-9.9,11.9,-56.2
77521966,-2.25,-157.28,6.7,7.75,-9.9,11.9,-55.8
77698956,-2.28,-157.27,6.8,7.65,-9.9,12.0,-55.5
77875948,-2.31,-157.34,6.9,7.56,-9.8,12.0,-55.0
78052938,-2.35,-157.42,7.0,7.44,-9.8,12.0,-54.5
78229928,-2.39,-157.45,7.1,7.32,-9.8,12.1,-54.0
78406920,-2.43,-157.41,7.2,7.19,-9.8,12.2,-53.5
78583910,-2.47,-157.37,7.3,7.08,-9.8,12.2,-53.2
78760900,-2.51,-157.34,7.5,6.97,-9.8,12.3,-52.8
