Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
48672488,-1.63,-149.70,5.0,10.68,-13.4,14.3,-69.5
48849478,-1.61,-150.01,5.0,10.81,-13.3,14.2,-69.5
49026468,-1.59,-150.38,4.9,10.99,-13.1,14.0,-69.6
49203460,-1.56,-150.71,4.8,11.18,-13.0,13.8,-69.8
49380450,-1.53,-151.12,4.7,11.36,-12.8,13.6,-69.8
49557440,-1.50,-151.46,4.6,11.62,-12.6,13.4,-70.1
49734432,-1.48,-151.78,4.5,11.76,-12.5,13.3,-70.1
49911422,-1.47,-152.17,4.5,11.87,-12.3,13.1,-70.0
50088412,-1.47,-152.52,4.5,11.87,-12.1,12.9,-69.8
50265404,-1.44,-152.90,4.4,12.08,-12.0,12.7,-69.9
50442394,-1.44,-153.08,4.4,12.13,-11.9,12.7,-69.9
50619384,-1.42,-153.53,4.3,12.23,-11.7,12.4,-69.7
50796376,-1.41,-153.74,4.3,12.31,-11.6,12.3,-69.7
50973366,-1.40,-154.07,4.2,12.45,-11.4,12.2,-69.7
51150356,-1.39,-154.33,4.2,12.51,-11.3,12.1,-69.6
51327348,-1.38,-154.60,4.2,12.64,-11.2,11.9,-69.6
51504338,-1.37,-154.83,4.1,12.70,-11.1,11.8,-69.6
51681328,-1.38,-155.11,4.1,12.64,-11.0,11.7,-69.3
51858320,-1.37,-155.29,4.1,12.70,-10.9,11.6,-69.2
52035310,-1.36,-155.61,4.1,12.79,-10.7,11.5,-69.2
52212300,-1.36,-155.84,4.1,12.78,-10.6,11.4,-68.9
52389292,-1.36,-156.08,4.1,12.76,-10.5,11.3,-68.8
52566282,-1.36,-156.29,4.1,12.78,-10.4,11.2,-68.6
52743272,-1.36,-156.52,4.1,12.80,-10.3,11.1,-68.5
52920264,-1.35,-156.73,4.0,12.94,-10.2,11.0,-68.5
53097254,-1.35,-156.73,4.1,12.85,-10.2,11.0,-68.4
53274244,-1.35,-156.96,4.0,12.93,-10.1,10.9,-68.3
53451236,-1.36,-157.19,4.1,12.84,-10.0,10.8,-68.0
53628226,-1.35,-157.41,4.0,12.90,-9.9,10.7,-67.9
53805216,-1.34,-157.63,4.0,12.96,-9.8,10.6,-67.8
53982208,-1.34,-157.79,4.0,12.99,-9.8,10.5,-67.7
54159198,-1.34,-158.04,4.0,12.96,-9.6,10.4,-67.4
54336188,-1.34,-158.31,4.0,12.96,-9.5,10.3,-67.2
54513180,-1.36,-158.49,4.0,12.82,-9.4,10.3,-66.8
54690170,-1.35,-158.67,4.0,12.93,-9.4,10.2,-66.8
54867160,-1.34,-158.82,4.0,13.03,-9.3,10.1,-66.9
55044152,-1.35,-159.02,4.0,12.91,-9.2,10.0,-66.5
55221142,-1.34,-159.21,4.0,13.03,-9.1,9.9,-66.5
55398132,-1.34,-159.40,4.0,13.00,-9.0,9.9,-66.3
55575124,-1.33,-159.63,4.0,13.04,-8.9,9.8,-66.1
55752114,-1.34,-159.82,4.0,13.00,-8.8,9.7,-65.8
55929104,-1.35,-160.00,4.0,12.94,-8.8,9.6,-65.5
56106096,-1.35,-160.18,4.0,12.87,-8.7,9.6,-65.3
56283086,-1.35,-160.39,4.0,12.92,-8.6,9.5,-65.1
56460076,-1.34,-160.54,3.9,13.04,-8.5,9.4,-65.1
56637068,-1.34,-160.74,4.0,12.97,-8.4,9.3,-64.8
56814058,-1.35,-160.91,4.0,12.88,-8.4,9.3,-64.5
56991048,-1.35,-161.05,4.0,12.87,-8.3,9.2,-64.3
57168040,-1.35,-161.18,4.0,12.85,-8.2,9.2,-64.1
57345030,-1.36,-161.39,4.0,12.83,-8.1,9.1,-63.8
57522020,-1.35,-161.61,4.0,12.86,-8.0,9.0,-63.6
57699012,-1.35,-161.74,4.0,12.88,-8.0,8.9,-63.5
57876002,-1.35,-161.88,4.0,12.89,-7.9,8.9,-63.4
58052992,-1.36,-162.05,4.0,12.83,-7.8,8.8,-63.0
58229984,-1.35,-162.22,4.0,12.89,-7.8,8.7,-62.9
58406974,-1.36,-162.44,4.0,12.82,-7.7,8.7,-62.5
58583964,-1.35,-162.58,4.0,12.85,-7.6,8.6,-62.4
58760956,-1.36,-162.81,4.0,12.78,-7.5,8.5,-62.0
58937946,-1.36,-162.98,4.0,12.80,-7.4,8.4,-61.8
59114936,-1.36,-163.13,4.0,12.79,-7.4,8.4,-61.5
59291928,-1.36,-163.27,4.0,12.78,-7.3,8.3,-61.3
59468918,-1.36,-163.41,4.0,12.84,-7.2,8.3,-61.2
59645908,-1.36,-163.62,4.0,12.83,-7.2,8.2,-60.9
59822900,-1.35,-163.74,4.0,12.86,-7.1,8.1,-60.8
59999890,-1.35,-163.90,4.0,12.88,-7.0,8.1,-60.6
60176880,-1.35,-164.05,4.0,12.88,-7.0,8.0,-60.4
60353872,-1.36,-164.22,4.0,12.83,-6.9,7.9,-60.0
60530862,-1.36,-164.36,4.0,12.79,-6.8,7.9,-59.7
60707852,-1.37,-164.49,4.0,12.75,-6.8,7.9,-59.4
60884844,-1.36,-164.62,4.0,12.83,-6.7,7.8,-59.4
61061834,-1.36,-164.86,4.0,12.76,-6.6,7.7,-58.9
61238824,-1.37,-165.04,4.0,12.74,-6.5,7.6,-58.5
61415816,-1.35,-165.16,3.9,12.90,-6.5,7.6,-58.7
61592806,-1.36,-165.33,4.0,12.80,-6.4,7.5,-58.2
61769796,-1.37,-165.46,4.0,12.68,-6.3,7.5,-57.7
61946788,-1.38,-165.60,4.0,12.64,-6.3,7.5,-57.4
62123778,-1.37,-165.82,4.0,12.71,-6.2,7.4,-57.1
62300768,-1.38,-165.96,4.0,12.61,-6.1,7.3,-56.7
62477760,-1.37,-166.14,4.0,12.69,-6.0,7.2,-56.5
62654750,-1.37,-166.34,4.0,12.70,-6.0,7.2,-56.1
62831740,-1.37,-166.49,4.0,12.69,-5.9,7.1,-55.8
63008732,-1.36,-166.62,4.0,12.77,-5.8,7.1,-55.8
63185722,-1.36,-166.83,4.0,12.81,-5.7,7.0,-55.4
63362712,-1.36,-166.91,4.0,12.79,-5.7,6.9,-55.2
63539704,-1.36,-167.11,4.0,12.79,-5.6,6.9,-54.8
63716694,-1.37,-167.26,4.0,12.72,-5.5,6.8,-54.3
63893684,-1.37,-167.37,4.0,12.69,-5.5,6.8,-54.0
64070676,-1.37,-167.53,4.0,12.69,-5.4,6.7,-53.7
64247666,-1.38,-167.69,4.0,12.59,-5.4,6.7,-53.1
64424656,-1.38,-167.86,4.0,12.65,-5.3,6.6,-52.9
64601648,-1.38,-168.04,4.0,12.60,-5.2,6.6,-52.4
64778638,-1.38,-168.11,4.0,12.58,-5.2,6.5,-52.2
64955628,-1.37,-168.33,4.0,12.72,-5.1,6.4,-52.0
65132620,-1.37,-168.45,4.0,12.70,-5.0,6.4,-51.6
65309610,-1.37,-168.59,4.0,12.69,-5.0,6.4,-51.3
65486600,-1.37,-168.79,4.0,12.70,-4.9,6.3,-50.8
65663592,-1.37,-168.90,4.0,12.67,-4.8,6.3,-50.5
65840582,-1.38,-169.09,4.0,12.65,-4.7,6.2,-50.0
66017572,-1.37,-169.24,4.0,12.67,-4.7,6.1,-49.6
66194564,-1.38,-169.37,4.0,12.65,-4.6,6.1,-49.2
66371554,-1.38,-169.55,4.0,12.64,-4.5,6.0,-48.7
66548544,-1.38,-169.66,4.0,12.65,-4.5,6.0,-48.4
66725536,-1.37,-169.85,4.0,12.74,-4.4,5.9,-48.1
66902526,-1.38,-169.96,4.0,12.63,-4.4,5.9,-47.6
67079516,-1.39,-170.12,4.0,12.57,-4.3,5.9,-47.0
67256508,-1.38,-170.26,4.0,12.60,-4.2,5.8,-46.6
67433498,-1.38,-170.43,4.0,12.62,-4.2,5.8,-46.2
67610488,-1.38,-170.55,4.0,12.61,-4.1,5.7,-45.8
67787480,-1.38,-170.76,4.0,12.65,-4.0,5.7,-45.3
67964470,-1.38,-170.90,4.0,12.61,-4.0,5.6,-44.7
68141460,-1.37,-171.07,4.0,12.69,-3.9,5.5,-44.4
68318452,-1.38,-171.18,4.0,12.61,-3.8,5.5,-43.9
68495442,-1.38,-171.43,4.0,12.62,-3.7,5.5,-43.0
68672432,-1.39,-171.58,4.0,12.53,-3.7,5.4,-42.4
68849424,-1.38,-171.76,4.0,12.59,-3.6,5.4,-41.9
69026414,-1.39,-171.92,4.0,12.52,-3.5,5.3,-41.2
69203404,-1.39,-172.02,4.0,12.57,-3.5,5.3,-40.9
69380396,-1.39,-172.13,4.0,12.51,-3.4,5.3,-40.4
69557386,-1.39,-172.31,4.0,12.52,-3.3,5.2,-39.8
69734376,-1.38,-172.47,4.0,12.58,-3.3,5.2,-39.3
69911368,-1.38,-172.64,4.0,12.59,-3.2,5.1,-38.7
70088358,-1.39,-172.84,4.0,12.55,-3.1,5.1,-37.8
70265348,-1.39,-173.01,4.0,12.55,-3.0,5.0,-37.2
70442340,-1.38,-173.18,4.0,12.57,-3.0,5.0,-36.6
70619330,-1.39,-173.32,4.0,12.53,-2.9,4.9,-35.9
70796320,-1.39,-173.43,4.0,12.53,-2.9,4.9,-35.5
70973312,-1.39,-173.59,4.0,12.50,-2.8,4.9,-34.7
71150302,-1.39,-173.76,4.0,12.50,-2.7,4.8,-34.0
71327292,-1.39,-173.89,4.0,12.53,-2.6,4.8,-33.5
71504284,-1.38,-174.09,4.0,12.58,-2.6,4.7,-32.8
71681274,-1.39,-174.28,4.0,12.56,-2.5,4.7,-31.9
71858264,-1.39,-174.41,4.0,12.50,-2.4,4.7,-31.2
72035256,-1.41,-174.57,4.0,12.38,-2.4,4.7,-30.2
72212246,-1.41,-174.75,4.1,12.37,-2.3,4.6,-29.3
72389236,-1.41,-174.95,4.1,12.34,-2.2,4.6,-28.3
72566228,-1.41,-175.08,4.1,12.36,-2.1,4.6,-27.8
72743218,-1.41,-175.30,4.1,12.36,-2.0,4.5,-26.7
72920208,-1.41,-175.50,4.1,12.31,-2.0,4.5,-25.6
73097200,-1.42,-175.67,4.1,12.29,-1.9,4.5,-24.8
73274190,-1.42,-175.85,4.1,12.24,-1.8,4.5,-23.8
73451180,-1.42,-176.06,4.1,12.25,-1.7,4.4,-22.7
73628172,-1.42,-176.23,4.1,12.23,-1.6,4.4,-21.7
73805162,-1.42,-176.38,4.1,12.27,-1.6,4.4,-21.1
73982152,-1.42,-176.53,4.1,12.23,-1.5,4.4,-20.2
74159144,-1.43,-176.73,4.1,12.21,-1.4,4.3,-19.1
74336134,-1.43,-176.93,4.1,12.18,-1.3,4.3,-17.9
74513124,-1.44,-177.10,4.1,12.09,-1.3,4.3,-16.9
74690116,-1.45,-177.26,4.2,12.02,-1.2,4.3,-15.9
74867106,-1.46,-177.42,4.2,11.94,-1.1,4.3,-14.9
75044096,-1.45,-177.63,4.2,12.01,-1.0,4.3,-13.9
75221088,-1.46,-177.78,4.2,11.96,-1.0,4.3,-13.0
75398078,-1.47,-178.01,4.2,11.88,-0.9,4.3,-11.6
75575068,-1.45,-178.20,4.2,11.97,-0.8,4.3,-10.6
75752060,-1.47,-178.41,4.2,11.87,-0.7,4.3,-9.3
75929050,-1.48,-178.56,4.3,11.73,-0.6,4.3,-8.4
76106040,-1.50,-178.81,4.3,11.65,-0.5,4.3,-6.9
76283032,-1.50,-178.96,4.3,11.58,-0.5,4.3,-6.0
76460022,-1.51,-179.11,4.3,11.53,-0.4,4.4,-5.1
76637012,-1.52,-179.34,4.4,11.47,-0.3,4.4,-3.8
76814004,-1.52,-179.55,4.4,11.42,-0.2,4.4,-2.5
76990994,-1.54,-179.75,4.4,11.32,-0.1,4.4,-1.4
77167984,-1.55,-179.99,4.5,11.23,-0.0,4.5,-0.1
77344976,-1.57,179.84,4.5,11.09,0.1,4.5,0.9
77521966,-1.58,179.62,4.5,11.03,0.2,4.5,2.1
77698956,-1.59,179.48,4.6,10.98,0.2,4.6,2.9
77875948,-1.60,179.25,4.6,10.89,0.3,4.6,4.0
78052938,-1.62,179.04,4.7,10.75,0.4,4.7,5.1
78229928,-1.64,178.88,4.7,10.65,0.5,4.7,5.9
78406920,-1.66,178.72,4.8,10.50,0.6,4.8,6.6
78583910,-1.67,178.52,4.8,10.43,0.6,4.8,7.6
78760900,-1.70,178.32,4.9,10.27,0.7,4.9,8.5
78937892,-1.71,178.16,4.9,10.20,0.8,5.0,9.2
79114882,-1.73,177.96,5.0,10.09,0.9,5.0,10.1
79291872,-1.75,177.82,5.0,9.99,0.9,5.1,10.6
79468864,-1.77,177.60,5.1,9.85,1.0,5.2,11.5
79645854,-1.79,177.42,5.1,9.74,1.1,5.3,12.3
79822844,-1.81,177.21,5.2,9.62,1.2,5.3,13.0
79999836,-1.83,177.04,5.3,9.52,1.3,5.4,13.7
80176826,-1.85,176.88,5.3,9.41,1.3,5.5,14.2
80353816,-1.88,176.72,5.4,9.26,1.4,5.6,14.7
80530808,-1.91,176.51,5.5,9.13,1.5,5.7,15.3
80707798,-1.94,176.42,5.6,9.00,1.5,5.8,15.5
80884788,-1.97,176.26,5.7,8.85,1.6,5.9,15.9
81061780,-1.99,176.17,5.7,8.78,1.7,5.9,16.1
81238770,-2.02,176.06,5.8,8.62,1.7,6.1,16.3
81415760,-2.05,175.88,5.9,8.51,1.8,6.1,16.8
81592752,-2.09,175.70,6.0,8.34,1.9,6.3,17.1
81769742,-2.12,175.69,6.1,8.23,1.9,6.4,16.9
81946732,-2.15,175.59,6.2,8.12,1.9,6.5,17.1
82123724,-2.19,175.43,6.3,7.98,2.0,6.6,17.4
82300714,-2.21,175.43,6.3,7.89,2.0,6.6,17.2
82477704,-2.25,175.35,6.5,7.75,2.0,6.8,17.1
82654696,-2.29,175.36,6.6,7.63,2.0,6.9,16.9
82831686,-2.31,175.31,6.6,7.56,2.0,6.9,16.9
83008676,-2.35,175.24,6.7,7.43,2.0,7.0,16.8
83185668,-2.38,175.21,6.8,7.36,2.1,7.1,16.8
83362658,-2.41,175.25,6.9,7.25,2.0,7.2,16.4
83539648,-2.46,175.23,7.0,7.11,2.0,7.3,16.2
83716640,-2.49,175.19,7.1,7.02,2.1,7.4,16.1
83893630,-2.54,175.24,7.3,6.90,2.0,7.5,15.7
84070620,-2.58,175.30,7.4,6.78,2.0,7.7,15.2
84247612,-2.62,175.34,7.5,6.69,2.0,7.7,14.9
84424602,-2.65,175.43,7.6,6.61,2.0,7.8,14.4
