Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
58229984,-1.34,-163.30,3.9,12.99,-7.3,8.3,-61.7
58406974,-1.34,-163.54,3.9,12.95,-7.2,8.2,-61.3
58583964,-1.34,-163.72,3.9,13.02,-7.1,8.1,-61.1
58760956,-1.34,-163.98,3.9,12.99,-7.0,8.0,-60.7
58937946,-1.34,-164.22,3.9,13.02,-6.9,7.9,-60.4
59114936,-1.34,-164.45,3.9,13.01,-6.8,7.8,-60.0
59291928,-1.34,-164.67,3.9,13.02,-6.7,7.7,-59.7
59468918,-1.33,-164.85,3.9,13.06,-6.6,7.7,-59.5
59645908,-1.33,-165.11,3.9,13.05,-6.5,7.6,-59.0
59822900,-1.33,-165.28,3.9,13.07,-6.4,7.5,-58.8
59999890,-1.33,-165.48,3.9,13.10,-6.3,7.4,-58.5
60176880,-1.33,-165.68,3.9,13.12,-6.2,7.3,-58.2
60353872,-1.33,-165.89,3.9,13.07,-6.1,7.3,-57.7
60530862,-1.34,-166.09,3.9,13.03,-6.1,7.2,-57.3
60707852,-1.34,-166.30,3.9,12.97,-6.0,7.1,-56.8
60884844,-1.33,-166.49,3.9,13.04,-5.9,7.1,-56.6
61061834,-1.34,-166.76,3.9,13.00,-5.8,7.0,-56.0
61238824,-1.34,-166.97,3.9,13.02,-5.7,6.9,-55.6
61415816,-1.32,-167.13,3.8,13.22,-5.6,6.8,-55.6
61592806,-1.32,-167.35,3.8,13.16,-5.5,6.7,-55.1
61769796,-1.33,-167.54,3.9,13.07,-5.4,6.7,-54.5
61946788,-1.33,-167.72,3.9,13.06,-5.3,6.6,-54.1
62123778,-1.32,-168.00,3.8,13.14,-5.2,6.5,-53.7
62300768,-1.33,-168.20,3.9,13.04,-5.1,6.4,-53.0
62477760,-1.33,-168.43,3.8,13.13,-5.0,6.3,-52.6
62654750,-1.33,-168.68,3.9,13.11,-4.9,6.3,-52.0
62831740,-1.33,-168.87,3.9,13.06,-4.8,6.2,-51.4
63008732,-1.33,-169.03,3.9,13.10,-4.8,6.1,-51.1
63185722,-1.32,-169.27,3.8,13.14,-4.7,6.0,-50.6
63362712,-1.33,-169.39,3.8,13.13,-4.6,6.0,-50.2
63539704,-1.33,-169.61,3.8,13.13,-4.5,5.9,-49.7
63716694,-1.33,-169.87,3.8,13.10,-4.4,5.8,-48.9
63893684,-1.33,-170.09,3.8,13.11,-4.3,5.8,-48.3
64070676,-1.32,-170.36,3.8,13.15,-4.2,5.7,-47.6
64247666,-1.34,-170.53,3.9,13.03,-4.1,5.6,-46.8
64424656,-1.33,-170.72,3.8,13.09,-4.0,5.6,-46.4
64601648,-1.34,-170.92,3.9,13.03,-3.9,5.5,-45.6
