Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
54513180,-2.37,-164.54,6.9,7.38,-6.7,9.6,-44.0
54690170,-2.22,-163.51,6.5,7.86,-7.1,9.6,-47.7
54867160,-2.08,-162.46,6.1,8.40,-7.6,9.7,-51.3
55044152,-1.96,-161.48,5.8,8.91,-8.0,9.9,-54.4
55221142,-1.79,-161.73,5.3,9.72,-8.0,9.5,-56.4
55398132,-1.65,-161.98,4.8,10.58,-7.9,9.2,-58.3
55575124,-1.50,-162.25,4.4,11.63,-7.7,8.9,-60.4
55752114,-1.44,-162.73,4.2,12.12,-7.5,8.6,-60.8
55929104,-1.37,-163.19,4.0,12.68,-7.3,8.4,-61.2
56106096,-1.31,-163.64,3.8,13.27,-7.1,8.1,-61.7
56283086,-1.29,-164.04,3.8,13.52,-7.0,7.9,-61.6
56460076,-1.26,-164.39,3.7,13.87,-6.8,7.7,-61.7
56637068,-1.24,-164.77,3.6,14.04,-6.6,7.6,-61.4
56814058,-1.23,-165.07,3.6,14.12,-6.5,7.4,-61.1
56991048,-1.22,-165.33,3.6,14.27,-6.4,7.3,-60.9
57168040,-1.21,-165.59,3.5,14.43,-6.3,7.2,-60.8
57345030,-1.20,-165.92,3.5,14.47,-6.1,7.1,-60.3
57522020,-1.19,-166.25,3.5,14.58,-6.0,6.9,-59.9
57699012,-1.19,-166.52,3.5,14.68,-5.9,6.8,-59.6
57876002,-1.18,-166.72,3.4,14.76,-5.8,6.7,-59.3
58052992,-1.18,-166.94,3.4,14.76,-5.7,6.7,-58.9
58229984,-1.17,-167.18,3.4,14.89,-5.6,6.5,-58.7
58406974,-1.17,-167.40,3.4,14.87,-5.5,6.5,-58.2
58583964,-1.16,-167.56,3.4,15.00,-5.4,6.4,-58.1
58760956,-1.16,-167.80,3.4,15.01,-5.3,6.3,-57.7
58937946,-1.16,-168.03,3.4,15.02,-5.2,6.2,-57.2
59114936,-1.16,-168.25,3.4,15.00,-5.1,6.1,-56.7
59291928,-1.16,-168.45,3.4,15.00,-5.0,6.1,-56.2
59468918,-1.15,-168.60,3.3,15.09,-5.0,6.0,-56.0
59645908,-1.15,-168.81,3.3,15.12,-4.9,5.9,-55.6
59822900,-1.14,-168.94,3.3,15.20,-4.8,5.9,-55.4
59999890,-1.14,-169.14,3.3,15.23,-4.7,5.8,-55.0
60176880,-1.14,-169.34,3.3,15.27,-4.6,5.7,-54.6
60353872,-1.14,-169.54,3.3,15.20,-4.6,5.6,-54.0
60530862,-1.14,-169.69,3.3,15.20,-4.5,5.6,-53.5
60707852,-1.15,-169.87,3.3,15.17,-4.4,5.5,-53.0
60884844,-1.14,-170.01,3.3,15.31,-4.4,5.5,-52.9
61061834,-1.15,-170.28,3.3,15.17,-4.2,5.4,-51.9
61238824,-1.15,-170.49,3.3,15.12,-4.1,5.3,-51.2
61415816,-1.14,-170.65,3.3,15.28,-4.1,5.2,-51.0
61592806,-1.14,-170.85,3.3,15.28,-4.0,5.2,-50.4
61769796,-1.14,-171.01,3.3,15.22,-3.9,5.1,-49.8
61946788,-1.14,-171.17,3.3,15.25,-3.8,5.1,-49.4
62123778,-1.13,-171.35,3.3,15.39,-3.8,5.0,-49.1
62300768,-1.14,-171.47,3.3,15.27,-3.7,5.0,-48.4
62477760,-1.13,-171.62,3.3,15.41,-3.6,4.9,-48.2
62654750,-1.13,-171.84,3.3,15.37,-3.6,4.8,-47.4
62831740,-1.14,-172.01,3.3,15.28,-3.5,4.8,-46.6
63008732,-1.13,-172.15,3.3,15.33,-3.4,4.7,-46.2
63185722,-1.13,-172.37,3.3,15.42,-3.3,4.7,-45.6
63362712,-1.13,-172.47,3.3,15.42,-3.3,4.6,-45.2
63539704,-1.13,-172.66,3.2,15.46,-3.2,4.6,-44.5
63716694,-1.13,-172.85,3.3,15.41,-3.1,4.5,-43.7
63893684,-1.13,-173.01,3.3,15.42,-3.0,4.5,-43.1
64070676,-1.12,-173.20,3.2,15.47,-3.0,4.4,-42.3
64247666,-1.13,-173.35,3.3,15.35,-2.9,4.4,-41.5
64424656,-1.12,-173.53,3.2,15.49,-2.8,4.3,-41.0
64601648,-1.12,-173.71,3.2,15.46,-2.7,4.2,-40.1
64778638,-1.13,-173.84,3.3,15.36,-2.7,4.2,-39.4
64955628,-1.12,-174.10,3.2,15.50,-2.6,4.1,-38.4
65132620,-1.13,-174.26,3.2,15.43,-2.5,4.1,-37.5
65309610,-1.13,-174.43,3.3,15.40,-2.4,4.1,-36.7
65486600,-1.13,-174.65,3.3,15.42,-2.3,4.0,-35.6
65663592,-1.13,-174.78,3.3,15.39,-2.3,4.0,-34.9
65840582,-1.13,-175.00,3.3,15.34,-2.2,3.9,-33.6
66017572,-1.13,-175.20,3.3,15.37,-2.1,3.9,-32.6
66194564,-1.14,-175.36,3.3,15.32,-2.0,3.8,-31.6
66371554,-1.14,-175.58,3.3,15.31,-1.9,3.8,-30.4
66548544,-1.14,-175.71,3.3,15.30,-1.9,3.8,-29.7
66725536,-1.13,-175.92,3.2,15.41,-1.8,3.7,-28.6
66902526,-1.14,-176.11,3.3,15.28,-1.7,3.7,-27.3
67079516,-1.15,-176.34,3.3,15.19,-1.6,3.7,-25.7
67256508,-1.14,-176.56,3.3,15.24,-1.5,3.6,-24.5
67433498,-1.14,-176.78,3.3,15.21,-1.4,3.6,-23.1
67610488,-1.15,-176.93,3.3,15.11,-1.3,3.6,-22.0
67787480,-1.15,-177.19,3.3,15.09,-1.2,3.5,-20.2
67964470,-1.16,-177.42,3.3,14.96,-1.1,3.5,-18.6
68141460,-1.16,-177.68,3.3,14.99,-1.0,3.5,-16.8
68318452,-1.17,-177.89,3.4,14.83,-0.9,3.5,-15.2
68495442,-1.18,-178.19,3.4,14.74,-0.8,3.5,-13.1
68672432,-1.20,-178.42,3.4,14.55,-0.7,3.5,-11.3
68849424,-1.19,-178.64,3.4,14.59,-0.6,3.5,-9.8
69026414,-1.22,-178.91,3.5,14.26,-0.5,3.5,-7.7
