Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
46548600,-1.19,-146.17,3.7,14.61,-15.1,15.6,-76.1
46725590,-1.20,-146.41,3.7,14.54,-15.0,15.5,-76.0
46902580,-1.19,-146.54,3.7,14.59,-15.0,15.4,-76.0
47079572,-1.19,-146.67,3.7,14.61,-14.9,15.3,-75.9
47256562,-1.19,-146.94,3.7,14.57,-14.8,15.2,-75.8
47433552,-1.20,-147.19,3.7,14.55,-14.6,15.1,-75.7
47610544,-1.20,-147.35,3.7,14.51,-14.6,15.0,-75.6
47787534,-1.20,-147.51,3.7,14.47,-14.5,15.0,-75.5
47964524,-1.19,-147.76,3.7,14.56,-14.4,14.9,-75.5
48141516,-1.19,-147.90,3.7,14.60,-14.3,14.8,-75.5
48318506,-1.18,-148.07,3.7,14.68,-14.2,14.7,-75.5
48495496,-1.19,-148.28,3.7,14.59,-14.1,14.6,-75.3
48672488,-1.19,-148.53,3.7,14.67,-14.0,14.5,-75.3
48849478,-1.19,-148.64,3.7,14.58,-14.0,14.4,-75.2
49026468,-1.20,-148.81,3.7,14.56,-13.9,14.4,-75.1
49203460,-1.20,-148.96,3.7,14.55,-13.8,14.3,-75.0
49380450,-1.19,-149.19,3.7,14.59,-13.7,14.2,-75.0
49557440,-1.18,-149.36,3.6,14.77,-13.6,14.1,-75.1
49734432,-1.18,-149.51,3.7,14.71,-13.6,14.0,-74.9
49911422,-1.18,-149.72,3.6,14.71,-13.5,13.9,-74.8
50088412,-1.20,-149.86,3.7,14.53,-13.4,13.9,-74.6
50265404,-1.19,-150.06,3.6,14.68,-13.3,13.8,-74.7
50442394,-1.19,-150.13,3.7,14.60,-13.3,13.8,-74.6
50619384,-1.19,-150.49,3.7,14.60,-13.1,13.6,-74.4
50796376,-1.19,-150.58,3.7,14.57,-13.1,13.6,-74.3
50973366,-1.19,-150.78,3.6,14.66,-13.0,13.5,-74.3
51150356,-1.19,-150.91,3.7,14.61,-12.9,13.4,-74.2
51327348,-1.19,-151.03,3.6,14.67,-12.9,13.4,-74.2
51504338,-1.19,-151.22,3.6,14.68,-12.8,13.3,-74.1
51681328,-1.20,-151.45,3.7,14.53,-12.7,13.2,-73.9
51858320,-1.20,-151.58,3.7,14.53,-12.6,13.1,-73.8
52035310,-1.19,-151.82,3.6,14.61,-12.5,13.0,-73.8
52212300,-1.20,-151.96,3.7,14.52,-12.4,12.9,-73.6
52389292,-1.20,-152.10,3.7,14.46,-12.4,12.9,-73.5
52566282,-1.20,-152.25,3.7,14.46,-12.3,12.8,-73.4
52743272,-1.20,-152.43,3.7,14.46,-12.2,12.7,-73.3
52920264,-1.19,-152.58,3.6,14.62,-12.1,12.7,-73.4
53097254,-1.20,-152.50,3.7,14.48,-12.2,12.7,-73.3
53274244,-1.19,-152.68,3.6,14.57,-12.1,12.6,-73.3
53451236,-1.21,-152.83,3.7,14.41,-12.0,12.6,-73.0
53628226,-1.20,-153.01,3.7,14.45,-11.9,12.5,-73.0
53805216,-1.20,-153.19,3.6,14.50,-11.9,12.4,-72.9
53982208,-1.20,-153.30,3.6,14.51,-11.8,12.4,-72.9
54159198,-1.20,-153.48,3.6,14.49,-11.7,12.3,-72.7
